title,company_name,url,remote,first_seen_at,last_seen_at,lang,juniority_score,source,external_ids_0,external_ids_1,external_ids_2,external_ids_3,external_ids_4,external_ids_5,external_ids_6,external_ids_7,external_ids_8,external_ids_9,locations_0_name,locations_1_name,locations_2_name,locations_3_name,locations_4_name,locations_5_name,locations_6_name,locations_7_name,locations_8_name,locations_9_name,locations_10_name,locations_11_name,locations_12_name,locations_13_name,locations_14_name,locations_15_name,locations_16_name,locations_17_name,locations_18_name,locations_19_name,locations_0_region,locations_1_region,locations_2_region,locations_3_region,locations_4_region,locations_5_region,locations_6_region,locations_7_region,locations_8_region,locations_9_region,locations_10_region,locations_11_region,locations_12_region,locations_13_region,locations_14_region,locations_15_region,locations_16_region,locations_17_region,locations_18_region,locations_19_region,employment_types_0,employment_types_1,employment_types_2,employment_types_3,employment_types_4,employment_types_5,employment_types_6,employment_types_7,employment_types_8,employment_types_9
Tester elektromotoru bonus 60.000 Kč,"Advantage Consulting, s.r.o.",https://www.profesia.cz/prace/advantage-consulting/O4379572,False,2022-07-14 00:00:00,,cs,,,linkedin#3167583770,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
HTML/CSS kodér pro náš web Ecomail.cz,Ecomail.cz,https://www.startupjobs.cz/nabidka/41354/html-css-koder-pro-nas-web-ecomail-cz?utm_source=juniorguru&utm_medium=cpc&utm_campaign=juniorguru,False,2022-07-12 00:00:00,,cs,,,startupjobs#41354,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,PART_TIME,FULL_TIME,,,,,,,,
Junior Software Engineer/ka in QA - Ostrava,profiq,https://join.com/companies/profiq/5127100-junior-software-engineer-ka-in-qa-ostrava?pid=24a1b46991e3de1fbcf0&utm_content=junior%2Bsoftware%2Bengineer%2Bka%2Bin%2Bqa%2B-%2Bostrava,False,2022-07-03 00:00:00,,cs,,,linkedin#3154070596,,,,,,,,,,Ostrava,,,,,,,,,,,,,,,,,,,,Ostrava,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Junior Developer (Trainee),"AIS Servis, s.r.o.",https://cz.linkedin.com/jobs/view/junior-developer-trainee-at-ais-servis-s-r-o-3148558163,False,2022-07-01 00:00:00,,cs,,,linkedin#3148558163,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Programátor- HTML/CSS kodér,PolyWeb s.r.o.,https://www.jobsik.cz/nabidka-27720135/,False,2022-06-30 00:00:00,,cs,,,linkedin#3167926216,,,,,,,,,,České Budějovice,,,,,,,,,,,,,,,,,,,,České Budějovice,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Junior Kubernetes Admin,Livesport,https://www.startupjobs.cz/nabidka/41208/junior-kubernetes-admin?utm_source=juniorguru&utm_medium=cpc&utm_campaign=juniorguru,False,2022-06-30 00:00:00,,cs,,,startupjobs#41208,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Hledáme SEO specialistu. Práce v brněnském kanclu vs. odjinud v poměru 3:2,optimio s.r.o.,https://www.startupjobs.cz/nabidka/41172/hledame-seo-specialistu-prace-v-brnenskem-kanclu-vs-odjinud-v-pomeru-3-2?utm_source=juniorguru&utm_medium=cpc&utm_campaign=juniorguru,False,2022-06-29 00:00:00,,cs,,,startupjobs#41172,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Full Stack Engineer,Excalidraw,https://cz.linkedin.com/jobs/view/full-stack-engineer-at-excalidraw-3147180607,False,2022-06-29 00:00:00,,cs,,,linkedin#3147180607,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,CONTRACT,,,,,,,,,
Frontend Developer,GPS Dozor - TLV s.r.o.,https://cz.linkedin.com/jobs/view/frontend-developer-at-gps-dozor-tlv-s-r-o-3145417586,False,2022-06-28 00:00:00,,cs,,,linkedin#3145417586,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,CONTRACT,,,,,,,,,
Junior support sítí a infrastruktury (vhodné pro absolventy),ALEF,https://www.startupjobs.cz/nabidka/41035/junior-support-siti-a-infrastruktury-vhodne-pro-absolventy?utm_source=juniorguru&utm_medium=cpc&utm_campaign=juniorguru,False,2022-06-27 00:00:00,,cs,,,startupjobs#41035,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
